# HSK 3.0 Level 1 Vocabulary
# Source: Wiktionary - https://en.wiktionary.org/wiki/Appendix:HSK_list_of_Mandarin_words_v3.0/level_1
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Format: chinese,pinyin,english
好听,hǎotīng,TODO
好玩儿,hǎowánr,TODO
后边,hòubian,TODO
后天,hòutiān,TODO
回答,huídá,TODO
回到,huídào,TODO
回家,huí jiā,TODO
回来,huí∥·lái,TODO
回去,huí∥·qù,TODO
火车,huǒchē,TODO
机场,jīchǎng,TODO
鸡蛋,jīdàn,TODO
机票,jīpiào,TODO
记得,jìde,TODO
记住,jìzhù,TODO
家里,jiā li,TODO
家人,jiārén,TODO
见面,jiàn∥miàn,TODO
姐姐/姐,jiě(jie),TODO
介绍,jièshào,TODO
今年,jīnnián,TODO
今天,jīntiān,TODO
进来,jìn∥·lái,TODO
进去,jìn∥·qù,TODO
觉得,juéde,TODO
开车,kāi∥chē,TODO
开会,kāi∥huì,TODO
看病,kàn∥bìng,TODO
看到,kàndào,TODO
看见,kàn∥jiàn,TODO
考试,kǎo∥shì,TODO
课本,kèběn,TODO
课文,kèwén,TODO
来到,láidào,TODO
老人,lǎorén,TODO
老师,lǎoshī,TODO
里边,lǐbian,TODO
楼上,lóu shàng,TODO
楼下,lóu xià,TODO
路口,lùkǒu,TODO
路上,lùshang,TODO
妈妈/妈,mā(ma),TODO
马路,mǎlù,TODO
马上,mǎshàng,TODO
没事儿,méi∥shìr,TODO
没有,méi·yǒu,TODO
妹妹/妹,mèi(mei),TODO
门口,ménkǒu,TODO
门票,ménpiào,TODO
米饭,mǐfàn,TODO
面包,miànbāo,TODO
面条儿,miàntiáor,TODO
明白,míngbai,TODO
明年,míngnián,TODO
明天,míngtiān,TODO
名字,míngzi,TODO
哪里,nǎ·lǐ,TODO
哪些,nǎxiē,TODO
那边,nàbiān,TODO
那里,nà·lǐ,TODO
那些,nàxiē,TODO
奶奶,nǎinai,TODO
南边,nánbian,TODO
男孩儿,nánháir,TODO
男人,nánrén,TODO
男生,nánshēng,TODO
你们,nǐmen,TODO
牛奶,niúnǎi,TODO
女儿,nǚ’ér,TODO
女孩儿,nǚháir,TODO
女人,nǚrén,TODO
女生,nǚshēng,TODO
旁边,pángbiān,TODO
朋友,péngyou,TODO
起床,qǐ∥chuáng,TODO
起来,qǐ∥·lái,TODO
汽车,qìchē,TODO
钱包,qiánbāo,TODO
前边,qiánbian,TODO
前天,qiántiān,TODO
请假,qǐng∥jià,TODO
请进,qǐng jìn,TODO
请问,qǐngwèn,TODO
请坐,qǐng zuò,TODO
去年,qùnián,TODO
认识,rènshi,TODO
认真,rènzhēn,TODO
日期,rìqī,TODO
商场,shāngchǎng,TODO
商店,shāngdiàn,TODO
上班,shàng∥bān,TODO
上边,shàngbian,TODO
上车,shàng chē,TODO
上次,shàng cì,TODO
上课,shàng∥kè,TODO
上网,shàng∥wǎng,TODO
上午,shàngwǔ,TODO
上学,shàng∥xué,TODO
身上,shēnshang,TODO
身体,shēntǐ,TODO
什么,shénme,TODO
生病,shēng∥bìng,TODO
生气,shēng∥qì,TODO
生日,shēngrì,TODO
时候,shíhou,TODO
时间,shíjiān,TODO
手机,shǒujī,TODO
书包,shūbāo,TODO
书店,shūdiàn,TODO
水果,shuǐguǒ,TODO
睡觉,shuì∥jiào,TODO
说话,shuō∥huà,TODO
他们,tāmen,TODO
她们,tāmen,TODO
天气,tiānqì,TODO
听到,tīngdào,TODO
听见,tīng∥jiàn,TODO
听写,tīngxiě,TODO
同学,tóngxué,TODO
外边,wàibian,TODO
外国,wàiguó,TODO
外语,wàiyǔ,TODO
晚饭,wǎnfàn,TODO
晚上,wǎnshang,TODO
网上,wǎng shang,TODO
网友,wǎngyǒu,TODO
忘记,wàngjì,TODO
我们,wǒmen,TODO
午饭,wǔfàn,TODO
西边,xībian,TODO
喜欢,xǐhuan,TODO
下班,xià∥bān,TODO
下边,xiàbian,TODO
下车,xià chē,TODO
下次,xià cì,TODO
下课,xià∥kè,TODO
下午,xiàwǔ,TODO
下雨,xià yǔ,TODO
先生,xiānsheng,TODO
现在,xiànzài,TODO
小孩儿,xiǎoháir,TODO
小姐,xiǎojiě,TODO
小时,xiǎoshí,TODO
小学,xiǎoxué,TODO
谢谢,xièxie,TODO
新年,xīnnián,TODO
星期,xīngqī,TODO
休息,xiūxi,TODO
学生,xué·shēng,TODO
学习,xuéxí,TODO
学校,xuéxiào,TODO
学院,xuéyuàn,TODO
爷爷,yéye,TODO
衣服,yīfu,TODO
医生,yīshēng,TODO
医院,yīyuàn,TODO
一半,yíbàn,TODO
一会儿,yíhuìr,TODO
一块儿,yíkuàir,TODO
一下儿,yíxiàr,TODO
一样,yíyàng,TODO
一边,yìbiān,TODO
一点儿,yìdiǎnr,TODO
一起,yìqǐ,TODO
一些,yìxiē,TODO
有的,yǒude,TODO
有名,yǒu∥míng,TODO
有用,yǒuyòng,TODO
右边,yòubian,TODO
在家,zàijiā,TODO
再见,zàijiàn,TODO
早饭,zǎofàn,TODO
早上,zǎoshang,TODO
怎么,zěnme,TODO
找到,zhǎodào,TODO
这边,zhèbiān,TODO
这里,zhè·lǐ,TODO
这些,zhèxiē,TODO
真的,zhēn de,TODO
正在,zhèngzài,TODO
知道,zhī·dào,TODO
知识,zhīshi,TODO
中国,Zhōngguó,TODO
中间,zhōngjiān,TODO
中文,Zhōngwén,TODO
中午,zhōngwǔ,TODO
中学,zhōngxué,TODO
重要,zhòngyào,TODO
准备,zhǔnbèi,TODO
桌子,zhuōzi,TODO
走路,zǒu∥lù,TODO
最好,zuìhǎo,TODO
最后,zuìhòu,TODO
昨天,zuótiān,TODO
左边,zuǒbian,TODO
坐下,zuò xia,TODO
不客气,bú kèqì,TODO
打电话,dǎ diànhuà,TODO
大学生,dàxuéshēng,TODO
电视机,diànshìjī,TODO
电影院,diànyǐngyuàn,TODO
对不起,duìbuqǐ,TODO
干什么,gàn shénme,TODO
教学楼,jiàoxuélóu,TODO
开玩笑,kāi wánxiào,TODO
没关系,méi guānxi,TODO
没什么,méi shénme,TODO
男朋友,nánpéngyou,TODO
女朋友,nǚpéngyou,TODO
是不是,shì bu shì,TODO
图书馆,túshūguǎn,TODO
洗手间,xǐshǒujiān,TODO
小朋友,xiǎopéngyǒu,TODO
小学生,xiǎoxuéshēng,TODO
星期日,xīngqīrì,TODO
星期天,xīngqītiān,TODO
有时候/有时,yǒushí(hou),TODO
有（一）些,yǒu(yì)xiē,TODO
中学生,zhōngxuéshēng,TODO
